file,size_MB,arch,block_count,embedding_length,feed_forward_length,head_count,context_length,vocab_size,params_M_calc,quant_detected,error
llama_cpp_canister/models/SmolLM2-135M/smollm2-135m-instruct-f32.gguf,514.8,llama,30,576,1536,9,8192,49152,134.5,F32,
llama_cpp_canister/models/SmolLM2-135M/smollm2-135m-instruct-q8_0.gguf,138.1,llama,30,576,1536,9,8192,49152,134.5,Q8_0,
llama_cpp_canister/models/SmolLM2-360M/SmolLM2-360M.Q4_0.gguf,218.5,llama,32,960,2560,15,8192,49152,361.8,Q8_0,
llama_cpp_canister/models/candidates/Falcon-H1-0.5B-Instruct-Q4_0.gguf,290.4,falcon-h1,36,1024,2048,8,16384,32784,521.4,Q6_K,
llama_cpp_canister/models/candidates/Falcon-H1-0.5B-Instruct-Q8_0.gguf,530.5,falcon-h1,36,1024,2048,8,16384,32784,521.4,Q8_0,
llama_cpp_canister/models/candidates/Falcon-H1-Tiny-90M-Instruct-Q8_0.gguf,93.8,falcon-h1,24,512,768,8,262144,32768,91.1,Q8_0,
llama_cpp_canister/models/candidates/amd-llama-135m-q4_0.gguf,78.8,llama,12,768,2048,12,2048,32000,134.1,Q6_K,
llama_cpp_canister/models/candidates/amd-llama-135m-q8_0.gguf,136.6,llama,12,768,2048,12,2048,32000,134.1,Q8_0,
llama_cpp_canister/models/candidates/bloomz-560m-q3_k_m.gguf,469.3,bloom,24,1024,4096,16,2048,250880,816.1,Q6_K,
llama_cpp_canister/models/candidates/danube3-500m-chat-q8_0.gguf,521.2,llama,16,1536,4096,16,8192,32000,513.6,Q8_0,
llama_cpp_canister/models/candidates/embeddinggemma-300m-q4_0.gguf,218.5,gemma-embedding,24,768,1152,3,2048,262144,302.9,Q6_K,
llama_cpp_canister/models/candidates/gemma3-1b-it-q2_k.gguf,657.9,gemma3,26,1152,6912,4,32768,262144,999.9,Q8_0,
