label,model_id,hf_repo,f16_gguf_sha256,imatrix_gguf_sha256,imatrix_size_MB,chunks,ctx_size,n_calibration_files,timestamp_utc,notes
smollm135,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,0d3b5930c32be1f4756cb5a69432dfbce5bc265db38eb52d2d19e7eb355c679f,cac656aaf4e7bd39044f115b4687e772282e806a11065546640ed74fab5906d1,0.60,512,2048,2,2026-04-20T09:35:56Z,"WikiText-2-raw test + C4 en-validation ~4MB mix; 420 imatrix tensors (30 layers); Final PPL=17.6628 +/- 0.0708; elapsed 181s on M4 Max Metal; imatrix smaller than plan's 2-5MB range because hidden dim 576 produces tiny in_sum2 arrays"
qwen05,Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,2d43c93bf16fe217f93a2ed004b465bba48f45be0c1fddb8774cb9ae67716687,d644f4728036ddca7c4cb14e1c720326610d8566e9703c83e7f8350e1377e06b,0.96,512,2048,2,2026-04-20T14:22:11Z,"WikiText-2-raw test + C4 en-validation ~4MB mix; 24 layers (qwen2 arch, hidden 896, ffn 4864); Final PPL=16.4734 +/- 0.0649; elapsed 373s on M4 Max Metal; imatrix ~1MB"
