held_out_arch,model,params_M,tok_measured,tok_predicted,alpha_train_median,relative_error,absolute_relative_error
gpt_neox,Pythia-14M,14,838,927.6,1.54,0.107,0.107
gpt_neox,Pythia-70M,70,185,185.5,1.54,0.0029,0.0029
openelm,OpenELM-270M,270,45,48.1,1.54,0.0689,0.0689
llama,SmolLM2-360M,360,36,33.2,1.675,-0.0787,0.0787
llama,H2O-Danube3-500M,500,27,23.9,1.675,-0.1155,0.1155
llama,SmolLM2-135M,135,103,88.4,1.675,-0.1413,0.1413
qwen2,Qwen-2.5-0.5B,494,27,25.4,1.595,-0.0599,0.0599
gpt2,DistilGPT2,82,119,158.4,1.54,0.3309,0.3309
gpt2,GPT-2-124M,124,84,104.7,1.54,0.2468,0.2468
