dim,f32_instr,tern_instr,alpha_f32,alpha_tern,speedup_f32_tern,alpha_f32_excess,alpha_tern_excess
128,3431249,1850421,2.094,1.129,1.8543072090081123,0.09399999999999986,0.129
256,13108049,6976821,2.0,1.065,1.878799671082288,0.0,0.06499999999999995
512,51200849,27060021,1.953,1.032,1.8921215545250316,-0.04699999999999993,0.03200000000000003
576,64628049,34128821,1.948,1.029,1.8936502084264792,-0.052000000000000046,0.028999999999999915
768,114279249,60250421,1.938,1.022,1.8967377671933612,-0.062000000000000055,0.02200000000000002
1024,202343249,106548021,1.93,1.016,1.899080312341043,-0.07000000000000006,0.016000000000000014
