scope,alpha_ols,alpha_robust_huber,slope_ols,slope_robust,slope_expected,r_squared_ols
all_families,4.2808,3.0038,0.9501,0.9671,-1.0,0.9909
modern_only,2.5325,2.5869,0.9748,0.9739,-1.0,0.998
