label,n,mean,std,median,ci_mean_low,ci_mean_high,ci_median_low,ci_median_high,method
all_families,13,1.6031,0.1884,1.54,1.5269,1.7369,1.5,1.65,BCa_bootstrap_9999
modern_only,11,1.5336,0.0854,1.54,1.4909,1.5882,1.5,1.65,BCa_bootstrap_9999
