variant_id,perplexity_wikitext2,perplexity_wikitext2_stderr,perplexity_c4,perplexity_c4_stderr,timestamp_utc
V1,11.8716,0.08444,19.2555,0.08236,2026-04-20T16:39:04Z
V2,11.8416,0.08421,19.1751,0.08195,2026-04-20T16:43:24Z
V3a,11.8928,0.08470,19.2597,0.08238,2026-04-20T16:47:30Z
V3b,11.8487,0.08445,19.2050,0.08217,2026-04-20T16:51:29Z
V3c,11.8145,0.08404,19.1307,0.08187,2026-04-20T16:55:24Z
V4,11.8133,0.08385,19.1821,0.08187,2026-04-20T16:59:21Z
BASE-Q4_0,13.1389,0.09490,21.0646,0.09039,2026-04-20T17:03:00Z
BASE-Q5_K_M,11.8746,0.08422,19.1810,0.08158,2026-04-20T17:06:58Z
BASE-Q8_0,11.6803,0.08283,18.9232,0.08061,2026-04-20T17:10:48Z
